name;norad_cat_id;epoch;tle_line1;tle_line2
DUBAISAT-1;35682;2025-10-05T09:19:59.695968;;
UK-DMC 2;35683;2025-10-05T13:23:23.298720;;
APRIZESAT 4;35684;2025-10-05T10:55:55.835040;;
NANOSAT 1B;35685;2025-10-05T06:15:58.324608;;
APRIZESAT 3;35686;2025-10-05T08:19:10.572096;;
ASIASAT 5;35696;2025-10-05T02:06:38.651040;;
NAVSTAR 64 (USA 206);35752;2025-10-05T07:40:16.278240;;
JCSAT-12 (JCSAT-RA);35755;2025-10-05T10:48:25.898400;;
OPTUS D3;35756;2025-10-05T11:46:38.730720;;
NIMIQ 5;35873;2025-10-05T12:29:38.818752;;
OCEANSAT-2;35931;2025-10-05T11:46:48.042912;;
SWISSCUBE;35932;2025-10-05T06:04:48.567360;;
BEESAT-1;35933;2025-10-05T04:59:26.144736;;
ITUPSAT1;35935;2025-10-05T11:01:30.748224;;
AMAZONAS 2;35942;2025-10-05T10:38:45.305952;;
COMSATBW-1;35943;2025-10-05T12:11:28.887072;;
WORLDVIEW-2 (WV-2);35946;2025-10-05T11:01:10.206624;;
DMSP 5D-3 F18 (USA 210);35951;2025-10-05T11:27:36.539136;;
NSS-12;36032;2025-10-05T12:09:51.541920;;
THOR 6;36033;2025-10-05T08:27:46.882944;;
SMOS;36036;2025-10-05T11:39:40.546080;;
PROBA-2;36037;2025-10-05T11:28:29.593056;;
SJ-11-01;36088;2025-10-05T12:43:53.399424;;
COSMOS 2455;36095;2025-10-05T01:35:17.818080;;
INTELSAT 14 (IS-14);36097;2025-10-05T09:57:53.242848;;
EUTELSAT 36B;36101;2025-10-05T12:07:59.221920;;
INTELSAT 15 (IS-15);36106;2025-10-05T12:17:50.775936;;
WGS F3 (USA 211);36108;2025-10-05T02:48:38.774016;;
YAOGAN-7;36110;2025-10-05T10:32:13.274592;;
COSMOS 2456 [GLONASS-M];36111;2025-10-05T08:26:13.924320;;
COSMOS 2457 [GLONASS-M];36112;2025-10-05T10:27:33.007680;;
YAOGAN-8;36121;2025-10-05T10:41:19.269888;;
XIWANG-1 (HOPE-1);36122;2025-10-05T11:51:23.582880;;
DIRECTV 12;36131;2025-10-05T11:34:02.847360;;
BEIDOU-2 G1;36287;2025-10-05T09:08:05.517888;;
SDO;36395;2025-10-04T11:26:23.796384;;
INTELSAT 16 (IS-16);36397;2025-10-05T11:55:04.754784;;
COSMOS 2460 [GLONASS-M];36402;2025-10-05T10:49:43.256640;;
EWS-G2 (GOES 15);36411;2025-10-05T12:11:06.423072;;
YAOGAN-9 01A;36413;2025-10-05T09:10:56.595936;;
YAOGAN-9 01B;36414;2025-10-05T10:30:48.492864;;
YAOGAN-9 01C;36415;2025-10-05T10:28:55.414272;;
ECHOSTAR 14;36499;2025-10-05T09:23:33.124704;;
CRYOSAT 2;36508;2025-10-05T11:47:07.901952;;
SES-1;36516;2025-10-05T11:24:44.915040;;
COSMOS 2463;36519;2025-10-05T12:54:41.103072;;
ASTRA 3B;36581;2025-10-05T12:00:14.965344;;
COMSATBW-2;36582;2025-10-05T06:22:38.778240;;
NAVSTAR 65 (USA 213);36585;2025-10-04T03:56:50.365248;;
